"year","income","n"
2019,"<100% FPL",558
2019,"100–199% FPL",852
2019,"200–299% FPL",598
2019,"300–399% FPL",372
2019,"400-499% FPL",279
2019,"500%+ FPL",615
2020,"<100% FPL",270
2020,"100–199% FPL",524
2020,"200–299% FPL",334
2020,"300–399% FPL",273
2020,"400-499% FPL",188
2020,"500%+ FPL",464
2021,"<100% FPL",456
2021,"100–199% FPL",743
2021,"200–299% FPL",558
2021,"300–399% FPL",357
2021,"400-499% FPL",310
2021,"500%+ FPL",592
2022,"<100% FPL",433
2022,"100–199% FPL",712
2022,"200–299% FPL",482
2022,"300–399% FPL",389
2022,"400-499% FPL",287
2022,"500%+ FPL",613
2023,"<100% FPL",517
2023,"100–199% FPL",806
2023,"200–299% FPL",614
2023,"300–399% FPL",358
2023,"400-499% FPL",265
2023,"500%+ FPL",644
2024,"<100% FPL",561
2024,"100–199% FPL",854
2024,"200–299% FPL",694
2024,"300–399% FPL",424
2024,"400-499% FPL",300
2024,"500%+ FPL",741
