"year","race_simple","n"
2019,"Hispanic",264
2019,"NH White",2456
2019,"NH Black",398
2019,"NH Asian",73
2019,"NH AIAN",65
2019,"NH Other",18
2020,"Hispanic",153
2020,"NH White",1595
2020,"NH Black",212
2020,"NH Asian",46
2020,"NH AIAN",35
2020,"NH Other",12
2021,"Hispanic",283
2021,"NH White",2199
2021,"NH Black",361
2021,"NH Asian",86
2021,"NH AIAN",61
2021,"NH Other",26
2022,"Hispanic",222
2022,"NH White",2212
2022,"NH Black",321
2022,"NH Asian",87
2022,"NH AIAN",63
2022,"NH Other",11
2023,"Hispanic",284
2023,"NH White",2410
2023,"NH Black",348
2023,"NH Asian",80
2023,"NH AIAN",70
2023,"NH Other",12
2024,"Hispanic",303
2024,"NH White",2695
2024,"NH Black",370
2024,"NH Asian",97
2024,"NH AIAN",88
2024,"NH Other",21
