"outcome","income_group","year","rate","stderr","lb","ub"
"noexercise","<100% FPL",2020,0.642739281736716,0.0137887423298516,0.615398051670611,0.669171146519074
"noexercise","<100% FPL",2022,0.619861465775801,0.0124415014862357,0.595373217257492,0.643639389876228
"noexercise","<100% FPL",2024,0.605557952714491,0.0128197937090656,0.580273840283104,0.630539134667474
"noexercise","100–199% FPL",2020,0.580782937305666,0.00943650534239951,0.562312022605806,0.599592882984318
"noexercise","100–199% FPL",2022,0.577573765514644,0.00938326125549355,0.558924508924047,0.595724317786607
"noexercise","100–199% FPL",2024,0.578232728054228,0.00894242613719356,0.560692630392522,0.595803060461544
"noexercise","200–299% FPL",2020,0.543234423799909,0.00998111069583929,0.523702300857976,0.562846099814992
"noexercise","200–299% FPL",2022,0.549414924682564,0.00975962788603778,0.53033035579292,0.568331680105154
"noexercise","200–299% FPL",2024,0.544615621305539,0.00968333285977185,0.525656491929865,0.563452984209531
"noexercise","300–399% FPL",2020,0.492738936731127,0.0101292176338525,0.473001746454512,0.512801726601636
"noexercise","300–399% FPL",2022,0.496594058449034,0.0101304979011704,0.477157688727365,0.516627265467536
"noexercise","300–399% FPL",2024,0.485715314802528,0.00971133056527923,0.466619790423618,0.504883574831121
"noexercise","400-499% FPL",2020,0.445466343630024,0.0106879410200451,0.424567153435967,0.465867849915477
"noexercise","400-499% FPL",2022,0.466624151804535,0.010466790794824,0.44637875911575,0.48734953662611
"noexercise","400-499% FPL",2024,0.442565027807564,0.0107763684499712,0.421314839625614,0.463316962857677
"noexercise","500%+ FPL",2020,0.362278167343097,0.00650258322562917,0.349504880179994,0.374993495020286
"noexercise","500%+ FPL",2022,0.37579957587608,0.00688790573828306,0.362419295285387,0.389394070829216
"noexercise","500%+ FPL",2024,0.372244393689699,0.00646525997544574,0.359601314415399,0.384728579788272
"strength","<100% FPL",2020,0.0533399952498323,0.00665949759556837,0.0414213617606093,0.0671535339652062
"strength","<100% FPL",2022,0.0581451698622723,0.00561875231336598,0.04773484218646,0.0696717579536302
"strength","<100% FPL",2024,0.0580376369353876,0.00543020782651171,0.0479904954299811,0.0692449927948148
"strength","100–199% FPL",2020,0.0668707562569834,0.00503685889413276,0.057530615446805,0.077331147668239
"strength","100–199% FPL",2022,0.0570775795863248,0.00404298997388952,0.0495269625906859,0.0653982262395388
"strength","100–199% FPL",2024,0.0617451155444994,0.00435862175938637,0.05353774675723,0.0707170880448126
"strength","200–299% FPL",2020,0.06478551935047,0.00474286050997388,0.0559425594139148,0.0744415268112226
"strength","200–299% FPL",2022,0.0594503569289683,0.00424171219486069,0.0515396808878498,0.068024962779278
"strength","200–299% FPL",2024,0.0602100334492056,0.0038402406390937,0.0529554718547957,0.0679517079755001
"strength","300–399% FPL",2020,0.0611021751656019,0.00521171192756884,0.0515618432747084,0.0719078397293813
"strength","300–399% FPL",2022,0.0611857300334798,0.00439388418493515,0.0531788226094791,0.0702261661046818
"strength","300–399% FPL",2024,0.0645351078866307,0.00449564423929592,0.0561923333589564,0.0738939351284529
"strength","400-499% FPL",2020,0.0721154330847884,0.0058843855096789,0.0611472855906999,0.0843436175023519
"strength","400-499% FPL",2022,0.0638859378303535,0.0050880404412856,0.0545248225318917,0.074490206809951
