"outcome","race_group","year","rate","stderr","lb","ub"
"noexercise","Hispanic",2020,0.526386243963584,0.0125247763868193,0.501521215857241,0.55007132510871
"noexercise","Hispanic",2022,0.559270249541105,0.0112247835862947,0.536971309873144,0.581042521422711
"noexercise","Hispanic",2024,0.522136781280041,0.011126095840423,0.500461563611156,0.543414653480128
"noexercise","NH White",2020,0.463358563059994,0.00479059464960216,0.454068594164172,0.472817711110808
"noexercise","NH White",2022,0.464048434028477,0.00539244142571405,0.45339668534078,0.47471105052249
"noexercise","NH White",2024,0.4647850223509,0.00512096646958765,0.454863565306035,0.474836161542687
"noexercise","NH Black",2020,0.494023366182415,0.0139810866388569,0.466601420159115,0.52137429224703
"noexercise","NH Black",2022,0.488218926129053,0.0132701426753567,0.461969058949507,0.514302296841787
"noexercise","NH Black",2024,0.484197859461354,0.0135068220544095,0.457832100195743,0.510513035881156
"noexercise","NH Asian",2020,0.458444914534407,0.0185459834006772,0.422175340945172,0.495049697617364
"noexercise","NH Asian",2022,0.491574413372893,0.0173051650205991,0.457109389412387,0.525321619421704
"noexercise","NH Asian",2024,0.478566656719338,0.0170547870264046,0.445423945420386,0.511465620895742
"noexercise","NH AIAN",2020,0.551792731739851,0.0372509040647397,0.478795739352773,0.624968096170437
"noexercise","NH AIAN",2022,0.43564222848195,0.0362431162979771,0.366427082228535,0.507426338339332
"noexercise","NH AIAN",2024,0.510939446742956,0.034386691328919,0.444249686425929,0.576996471510897
"noexercise","NH Other",2020,0.477703066640838,0.0441415963011917,0.392591782033676,0.563248362017766
"noexercise","NH Other",2022,0.506376075928613,0.04056217789058,0.427255677754865,0.586678086070898
"noexercise","NH Other",2024,0.425617622586275,0.0371645031067264,0.353871038254977,0.499103520921504
"strength","Hispanic",2020,0.0618411774343828,0.00554552991875325,0.051506684111145,0.0732378392933652
"strength","Hispanic",2022,0.0505320341693948,0.0044424409939735,0.0423891608040564,0.0596779348005559
"strength","Hispanic",2024,0.0537227755920183,0.00446471823773198,0.0454364153849511,0.0630770391726911
"strength","NH White",2020,0.0632551783371575,0.0025399908524188,0.0584612149313908,0.0684484318622561
"strength","NH White",2022,0.0608152844058432,0.00218261795807492,0.0566468496762823,0.065167622566257
"strength","NH White",2024,0.0620284766553889,0.00232791706224833,0.0574943791164527,0.066718641771704
"strength","NH Black",2020,0.0747742438542043,0.00699469467508388,0.0619338930930212,0.0890726308252986
"strength","NH Black",2022,0.0741676169504367,0.00705421335762414,0.0612486426098614,0.0888027666877034
