"outcome","income_group","year","rate","stderr","lb","ub"
"noinsurance","<100% FPL",2019,0.117318331568836,0.00728103618821295,0.103663942773994,0.131808394299631
"noinsurance","<100% FPL",2020,0.114462719332039,0.00946772169212357,0.0970133202465592,0.1342783768671
"noinsurance","<100% FPL",2021,0.104916607219729,0.00761358056435405,0.0904363687343328,0.120457914961734
"noinsurance","<100% FPL",2022,0.0975521645491918,0.00704285297312518,0.0843997716982916,0.111964842273643
"noinsurance","<100% FPL",2023,0.0751278801775367,0.00545215279955602,0.0651907819933561,0.0865277884642534
"noinsurance","<100% FPL",2024,0.082611607423901,0.00605607056570553,0.071381852193294,0.0949330698494058
"noinsurance","100–199% FPL",2019,0.124050925280009,0.00578477175415096,0.113205352506052,0.135804456933276
"noinsurance","100–199% FPL",2020,0.120213180080615,0.00787127938171376,0.105438011182808,0.136379021134967
"noinsurance","100–199% FPL",2021,0.101483056204209,0.00496470330586967,0.0922499113199363,0.11171333885932
"noinsurance","100–199% FPL",2022,0.096148065984918,0.00536360432448574,0.0861026050230764,0.106989393893136
"noinsurance","100–199% FPL",2023,0.0796028594244168,0.00449774648152125,0.071117707431568,0.0887270430035077
"noinsurance","100–199% FPL",2024,0.088076508887041,0.00487459006419015,0.0787876825901459,0.0978019013396327
"noinsurance","200–299% FPL",2019,0.0965069016245784,0.00525591562000518,0.086568087520353,0.107220876058177
"noinsurance","200–299% FPL",2020,0.0899947591684324,0.00593351024777113,0.0789582330379588,0.102096359416224
"noinsurance","200–299% FPL",2021,0.0844584294062973,0.00488078781341213,0.0752405240529598,0.0943997981057447
"noinsurance","200–299% FPL",2022,0.0813959719763409,0.00475232608397113,0.0724209672555879,0.0910886984215055
"noinsurance","200–299% FPL",2023,0.0633734544552719,0.00385195461703089,0.056045916497926,0.0711818822401323
"noinsurance","200–299% FPL",2024,0.074737609067181,0.00459175903298626,0.066036604258388,0.084120395451388
"noinsurance","300–399% FPL",2019,0.0576595053224082,0.00458683911639175,0.0492237804490859,0.0671686346514985
"noinsurance","300–399% FPL",2020,0.0620304295665859,0.00576462337597259,0.0515427201266902,0.0740487528189824
"noinsurance","300–399% FPL",2021,0.0513548145369019,0.0043404815717729,0.0432286956454196,0.0601761647048851
"noinsurance","300–399% FPL",2022,0.0607769010984455,0.00465315076209503,0.0522957964237513,0.0703965195311575
"noinsurance","300–399% FPL",2023,0.0515512399971193,0.00429782446162363,0.0436879161548365,0.0603214752516499
"noinsurance","300–399% FPL",2024,0.0513508929957464,0.00379743435669287,0.0442254950847909,0.0591641708408557
"noinsurance","400-499% FPL",2019,0.0362305450566542,0.00352567591363007,0.0297647813729227,0.0435587935968081
"noinsurance","400-499% FPL",2020,0.0473596752070944,0.00529114841171936,0.0376077565909971,0.058444335716072
"noinsurance","400-499% FPL",2021,0.0391319568026403,0.00391727818144944,0.0321602969863786,0.0473387272405406
"noinsurance","400-499% FPL",2022,0.0350596566772312,0.00373378191808263,0.0282675787443196,0.0430102399855717
"noinsurance","400-499% FPL",2023,0.0339740687372718,0.00379512998418257,0.0270336126581406,0.0419565298809101
"noinsurance","400-499% FPL",2024,0.0322545382378119,0.00337621180401473,0.0261852595274537,0.0393264556856888
"noinsurance","500%+ FPL",2019,0.0249374868427606,0.00203011097044144,0.0211947176124074,0.0291741525456906
"noinsurance","500%+ FPL",2020,0.0241158491476562,0.00235431158368646,0.0198158835879262,0.0289864866574075
"noinsurance","500%+ FPL",2021,0.0216721372076281,0.00180895770666408,0.0183484947421002,0.0255229166947362
"noinsurance","500%+ FPL",2022,0.0227554184960197,0.00191933946512719,0.0192459126565118,0.0267421044972148
