"outcome","age_group","year","rate","stderr","lb","ub"
"shortsleep","< 40 years",2020,0.257233783909292,0.00624476967408275,0.244973342880163,0.269529256477699
"shortsleep","< 40 years",2022,0.292844542054854,0.00595794463972048,0.281206763351429,0.304640405549822
"shortsleep","< 40 years",2024,0.278286544931949,0.00564374770537798,0.267472332885909,0.289536677854856
"shortsleep","40-64 years",2020,0.30810804019498,0.0052641414587673,0.297991473786786,0.318765457982885
"shortsleep","40-64 years",2022,0.338113562246054,0.00563503240635093,0.327122542420689,0.349094250724069
"shortsleep","40-64 years",2024,0.344893829733264,0.00545503260068103,0.334269922728616,0.355643289173028
"shortsleep","≥ 65 years",2020,0.239397067431747,0.00577212275448212,0.228203459623977,0.250827202275521
"shortsleep","≥ 65 years",2022,0.237436429173132,0.00543075619111941,0.226868253618872,0.24816576946596
"shortsleep","≥ 65 years",2024,0.26973126858211,0.00522546903940404,0.259488499897267,0.280190371389999
"enoughsleep","< 40 years",2020,0.742689769272273,0.00628270533097233,0.730251661051869,0.755028601389862
"enoughsleep","< 40 years",2022,0.707042999524342,0.00599279887551618,0.695227940992418,0.718591852739435
"enoughsleep","< 40 years",2024,0.72160106012024,0.00574637662122105,0.710462156526715,0.732733535266669
"enoughsleep","40-64 years",2020,0.691805942057534,0.00519074520938105,0.681619025708379,0.701982623860517
"enoughsleep","40-64 years",2022,0.661863146119724,0.00567922950856264,0.650681006357319,0.672927303445566
"enoughsleep","40-64 years",2024,0.655120275448433,0.00550557977043618,0.644311849069953,0.665887853667173
"enoughsleep","≥ 65 years",2020,0.760627155588895,0.00582469442791462,0.749032085845067,0.771768712620052
"enoughsleep","≥ 65 years",2022,0.762650016605001,0.00550998260011302,0.751827306541788,0.773269247555791
"enoughsleep","≥ 65 years",2024,0.730229462048616,0.00519671564531597,0.720028918710374,0.74029911786023
"longsleep","< 40 years",2020,0.0273012922692669,0.00256137349805359,0.0225699155005113,0.0326486429663009
"longsleep","< 40 years",2022,0.0283205414368043,0.00245768362616681,0.0237854363906021,0.0334413271017596
"longsleep","< 40 years",2024,0.0276962646904565,0.00243121808438881,0.0232496581893548,0.0326820631679947
"longsleep","40-64 years",2020,0.0218164078599571,0.00175929181100316,0.0185942140485128,0.0255048977834629
"longsleep","40-64 years",2022,0.02080663498143,0.00156684982149303,0.0178957166776285,0.0240014242470741
"longsleep","40-64 years",2024,0.0199236829381175,0.00160723780769256,0.016915726541711,0.0231965275763278
"longsleep","≥ 65 years",2020,0.0663855352322616,0.0033224222808541,0.0601268578884128,0.073101030472985
"longsleep","≥ 65 years",2022,0.0651923280638479,0.003219215515171,0.0590697032006873,0.0717701320905332
"longsleep","≥ 65 years",2024,0.073544061212114,0.00330173428193199,0.0672640296443152,0.0802191688737279
