"outcome","race_group","year","rate","stderr","lb","ub"
"shortsleep","Hispanic",2020,0.262080699024727,0.0107200724685335,0.24172855743138,0.283650187343351
"shortsleep","Hispanic",2022,0.321563471678402,0.0119980021540433,0.298673991611364,0.345500829646386
"shortsleep","Hispanic",2024,0.300210365057901,0.0101113686440517,0.280765755645482,0.32023032862006
"shortsleep","NH White",2020,0.265824435160712,0.00397094935521448,0.258203473569657,0.273613961948579
"shortsleep","NH White",2022,0.283204692223107,0.0043033563966552,0.274948849403369,0.291725471671763
"shortsleep","NH White",2024,0.290749505781256,0.00395261590321043,0.28299689853519,0.298383698835791
"shortsleep","NH Black",2020,0.38597637845544,0.0129328578790452,0.360950825194624,0.412306640456602
"shortsleep","NH Black",2022,0.40138320413216,0.0124715468651068,0.376827377277018,0.425919406224321
"shortsleep","NH Black",2024,0.415150531228242,0.0120621377226029,0.392012909859481,0.438785639206307
"shortsleep","NH Asian",2020,0.28191147574927,0.0161341644674502,0.251315440099653,0.314577433417904
"shortsleep","NH Asian",2022,0.28951159633527,0.0148295955653275,0.261080869995954,0.31865115471023
"shortsleep","NH Asian",2024,0.298193242473491,0.0159219804140035,0.267672802431015,0.330421659628434
"shortsleep","NH AIAN",2020,0.37370308705287,0.0284946181778853,0.318404001294269,0.431365367309663
"shortsleep","NH AIAN",2022,0.398104158541611,0.0305573120751558,0.33955688085418,0.458619289226921
"shortsleep","NH AIAN",2024,0.386732973952386,0.0321444513796065,0.324410778073535,0.450310726749514
"shortsleep","NH Other",2020,0.398959285826261,0.042016292618392,0.320284867215039,0.482723867441195
"shortsleep","NH Other",2022,0.478850547634812,0.0420844305208854,0.395235857510489,0.560269014029504
"shortsleep","NH Other",2024,0.493440396139124,0.0355588065311548,0.42263679317004,0.56332156929683
"enoughsleep","Hispanic",2020,0.738039238509335,0.0106670841291778,0.716440628177991,0.75862227418525
"enoughsleep","Hispanic",2022,0.678393340737233,0.0117651998938483,0.654870739632046,0.701724213020829
"enoughsleep","Hispanic",2024,0.699826021723908,0.0100318968365124,0.679942929817794,0.719041327389847
"enoughsleep","NH White",2020,0.734187995784116,0.00390442374498405,0.726643394809272,0.741885533876934
"enoughsleep","NH White",2022,0.716790054330588,0.00438744996278151,0.708248320449619,0.725245339291751
"enoughsleep","NH White",2024,0.709319915745822,0.00393362635005541,0.701439637635109,0.716854620420563
"enoughsleep","NH Black",2020,0.614052554486917,0.0128869729225748,0.588345373221018,0.639008715670528
"enoughsleep","NH Black",2022,0.598534528321023,0.0126155302422017,0.573467504367413,0.62315050125782
"enoughsleep","NH Black",2024,0.584691059758637,0.0120959007076904,0.560509384274113,0.608315322662914
"enoughsleep","NH Asian",2020,0.71828689510484,0.0160814678411865,0.686009712028671,0.749313488860289
"enoughsleep","NH Asian",2022,0.710496220656339,0.0149392795771504,0.680464948660806,0.738702445046581
"enoughsleep","NH Asian",2024,0.70167944912855,0.0159698746551291,0.669892807430906,0.731938124964342
"enoughsleep","NH AIAN",2020,0.626124665647453,0.0286054931214752,0.569556744653766,0.679872953947652
"enoughsleep","NH AIAN",2022,0.601804624640872,0.0304113508383436,0.540706133001203,0.660976658234998
"enoughsleep","NH AIAN",2024,0.612593885986151,0.0317387340201696,0.549346795691213,0.672848756116851
"enoughsleep","NH Other",2020,0.601302640842154,0.0425711659417019,0.516287517274485,0.68231295177334
"enoughsleep","NH Other",2022,0.52115054819547,0.0412712250215439,0.439161583676195,0.600675041611176
"enoughsleep","NH Other",2024,0.507647679326633,0.035123830700465,0.438114845160044,0.576914325318383
"longsleep","Hispanic",2020,0.033477168538276,0.00492708123709754,0.0248269105269594,0.0439493520187753
"longsleep","Hispanic",2022,0.0298370484443768,0.00476466931664293,0.0213516509547851,0.0401244883038619
"longsleep","Hispanic",2024,0.0337691637501382,0.00435022375151889,0.0259762232617358,0.0430289104526937
"longsleep","NH White",2020,0.033995607389077,0.00170814756503941,0.0307547299975178,0.0374491502691284
"longsleep","NH White",2022,0.0340440005969685,0.00167302803072211,0.0308659745907865,0.037391411456367
"longsleep","NH White",2024,0.0364614123170183,0.00184942472555906,0.0330019718496454,0.0402317908511394
"longsleep","NH Black",2020,0.0347142019574158,0.0048589511009394,0.0261448209656012,0.04515903424262
"longsleep","NH Black",2022,0.0396852342101904,0.00512259865572958,0.030323213812047,0.0504187939334543
"longsleep","NH Black",2024,0.0288994572932237,0.00409442075692744,0.0216846019508384,0.0376904367389126
"longsleep","NH Asian",2020,0.0333102699083744,0.00752341325599876,0.0209083546086593,0.050617012047809
"longsleep","NH Asian",2022,0.0228995835883878,0.0047644178955549,0.0148567938689945,0.0334832957956876
"longsleep","NH Asian",2024,0.0366970527911074,0.00676061924042743,0.0251429867841524,0.0511410028739823
"longsleep","NH AIAN",2020,0.019901504559937,0.00739497749743285,0.00921850605543584,0.0377684155799288
"longsleep","NH AIAN",2022,0.014301567832693,0.00523318022566309,0.00675086098535547,0.026789432630737
"longsleep","NH AIAN",2024,0.0248942911799446,0.00993833642565332,0.0106572397931081,0.0490428063225568
"longsleep","NH Other",2020,0.0177955651857709,0.0092150171596125,0.00601300520620008,0.0406721448045744
"longsleep","NH Other",2022,0.0381779149135495,0.019795847200003,0.012761128499167,0.0866120109473454
"longsleep","NH Other",2024,0.0184162240015476,0.0103836342870294,0.00560664347486043,0.0446168871043171
