panel,panel_type,year,n,weighted_mean,weighted_median,weighted_sd
Hispanic,Race,2020,3833,7.260741339950526,7,1.2615929752588295
Hispanic,Race,2022,3943,7.093857767339306,7,1.333397390907788
Hispanic,Race,2024,4762,7.1800549323794245,7,1.394473629178169
NH White,Race,2020,22090,7.217208106063138,7,1.350332029812479
NH White,Race,2022,18242,7.160496404811833,7,1.3773407197512424
NH White,Race,2024,21770,7.1701817925896245,7,1.39478512172929
NH Black,Race,2020,3201,7.047843128477025,7,1.579953145248147
NH Black,Race,2022,3112,7.0045229675026475,7,1.6029155160337414
NH Black,Race,2024,3296,6.9197282091999925,7,1.642404237311158
NH Asian,Race,2020,1682,7.1738503165896805,7,1.265701934833462
NH Asian,Race,2022,1663,7.108140505338936,7,1.1335216757952573
NH Asian,Race,2024,1869,7.099813376929462,7,1.4376871899330943
NH AIAN,Race,2020,433,7.116419879708542,7,1.7919620195330759
NH AIAN,Race,2022,372,6.842671635024341,7,1.6069735001330767
NH AIAN,Race,2024,521,6.992712909233892,7,1.6440706065170052
NH Other,Race,2020,329,7.022050165484191,7,1.2018906753781564
NH Other,Race,2022,319,6.9320616696456705,7,1.4099545934709918
NH Other,Race,2024,411,6.797246780318693,7,1.4450899084048145
<100% FPL,Income,2020,2824,7.204129327904765,7,1.67441462659306
<100% FPL,Income,2022,2780,7.1601841782608515,7,1.8134282224583722
<100% FPL,Income,2024,3425,7.201051829995347,7,1.8033608911808905
100–199% FPL,Income,2020,5221,7.229526817465957,7,1.539305328991376
100–199% FPL,Income,2022,4839,7.116194017787346,7,1.544813837448147
100–199% FPL,Income,2024,5789,7.143168914194183,7,1.6987105181780484
200–299% FPL,Income,2020,4963,7.241252123630723,7,1.3769402083841311
200–299% FPL,Income,2022,4313,7.068930890906603,7,1.4755696253007673
200–299% FPL,Income,2024,5526,7.1313876987243745,7,1.4632742375138819
300–399% FPL,Income,2020,4336,7.142608176751626,7,1.318183177155544
300–399% FPL,Income,2022,3680,7.104057560781558,7,1.347311726330251
300–399% FPL,Income,2024,4241,7.0831937296173235,7,1.3468031258191016
400-499% FPL,Income,2020,3659,7.129749345073712,7,1.2916949980910566
400-499% FPL,Income,2022,3071,7.144484467802858,7,1.2707340304963664
400-499% FPL,Income,2024,3686,7.039132299844494,7,1.2935799542499247
500%+ FPL,Income,2020,10565,7.205894022228192,7,1.1757944472232775
500%+ FPL,Income,2022,8968,7.134434605850265,7,1.1477358361006074
500%+ FPL,Income,2024,9962,7.154876073632989,7,1.1936943791611017
< 40 years,Age,2020,8539,7.200422593324447,7,1.2229295159029074
< 40 years,Age,2022,7945,7.1049939020473465,7,1.3064260586475624
< 40 years,Age,2024,9356,7.143214825354653,7,1.3200212883744258
40-64 years,Age,2020,12934,7.055481302607879,7,1.3115634148599993
40-64 years,Age,2022,10871,6.971981562358743,7,1.3250696769631738
40-64 years,Age,2024,12298,6.965945482420019,7,1.3450746052531135
≥ 65 years,Age,2020,10025,7.466521773362121,7,1.6397445123833234
≥ 65 years,Age,2022,8771,7.4169421117123076,7,1.5840083380268286
≥ 65 years,Age,2024,10923,7.393340054251642,7,1.7013203988362933
