"outcome","race_group","year","rate","stderr","lb","ub"
"noinsurance","Hispanic",2019,0.216478583463997,0.00927716279794567,0.198655431555448,0.235549036054837
"noinsurance","Hispanic",2020,0.218035439101421,0.0135164419549351,0.192095918263579,0.245319657400432
"noinsurance","Hispanic",2021,0.198035935880269,0.0094603249008108,0.17966480790384,0.216931429982075
"noinsurance","Hispanic",2022,0.196927313513232,0.00875112880393181,0.180249747770393,0.214335981614362
"noinsurance","Hispanic",2023,0.168205949335899,0.00877159667417582,0.15144632169784,0.186121387188177
"noinsurance","Hispanic",2024,0.171912182909723,0.00826556027498086,0.156177935753628,0.18851483351078
"noinsurance","NH White",2019,0.0561738924540201,0.00222047018706917,0.0519776137030863,0.0606491908105743
"noinsurance","NH White",2020,0.0505185510838882,0.00265513767883756,0.0455483905191338,0.0558051974293902
"noinsurance","NH White",2021,0.0424530095288212,0.00180513552930927,0.0389415403739983,0.0460621803161301
"noinsurance","NH White",2022,0.0404536827124346,0.00189219286635085,0.0368516608546284,0.0443141896890486
"noinsurance","NH White",2023,0.0359704170274001,0.00161826891691152,0.0328733309263618,0.0392710507156965
"noinsurance","NH White",2024,0.0411491972060312,0.00188001525924234,0.037609561821564,0.0448706732674655
"noinsurance","NH Black",2019,0.0712473611878687,0.00603955764632517,0.0600847870841349,0.0836567999638763
"noinsurance","NH Black",2020,0.07199029584161,0.00687196352466708,0.059460207462523,0.0861627386146817
"noinsurance","NH Black",2021,0.0678824198630929,0.00545000018038775,0.0578076592546305,0.0791178456879676
"noinsurance","NH Black",2022,0.0667661577230327,0.00510072318459685,0.0573413935881792,0.0772969389004256
"noinsurance","NH Black",2023,0.0484934117917266,0.004097180000134,0.0408315138448632,0.056963227245923
"noinsurance","NH Black",2024,0.0508566967883492,0.0048981385222571,0.0419550005893754,0.0609305148689854
"noinsurance","NH Asian",2019,0.0536171665833562,0.00795182091997883,0.0397388830351737,0.0710000811184435
"noinsurance","NH Asian",2020,0.0614654728559263,0.00843927290338396,0.0465928318579221,0.0792586338161467
"noinsurance","NH Asian",2021,0.0459517007469946,0.00648244516454429,0.0345560747842847,0.0597900617774328
"noinsurance","NH Asian",2022,0.052323869367788,0.00711671238181614,0.0398405934853186,0.0676647733318113
"noinsurance","NH Asian",2023,0.0301654874105798,0.00496752454382124,0.0215605588223949,0.0408606986989268
"noinsurance","NH Asian",2024,0.0409069398188099,0.00586825320688496,0.0307413779938377,0.0537276329569514
"noinsurance","NH AIAN",2019,0.164357003778607,0.0270228080112737,0.116369803139709,0.223346941692658
"noinsurance","NH AIAN",2020,0.175019258390157,0.0346992240665165,0.115814893513717,0.250469086522769
"noinsurance","NH AIAN",2021,0.117715187618071,0.0230457578310178,0.0775304056466194,0.169043789189485
"noinsurance","NH AIAN",2022,0.10438339339871,0.016281300173118,0.0761078603803921,0.139265087796611
"noinsurance","NH AIAN",2023,0.114485641464921,0.0212285106923237,0.0779562266413967,0.16080695537716
"noinsurance","NH AIAN",2024,0.0801774076071343,0.0144985085250891,0.0554291535694436,0.111937952656724
