"outcome","race_group","year","rate","stderr","lb","ub"
"telehealth","Hispanic",2020,0.315710260207834,0.0205193187106807,0.277554209289522,0.357925503318527
"telehealth","Hispanic",2021,0.370628879965154,0.0104829959568041,0.350124524991305,0.391192404791912
"telehealth","Hispanic",2022,0.302429803215053,0.0107397417982174,0.281611001085094,0.323857181077769
"telehealth","Hispanic",2023,0.244480091510827,0.00888258296599189,0.227284748633717,0.261956694877913
"telehealth","Hispanic",2024,0.226453751075769,0.00861495395377667,0.209692233391142,0.243905099954536
"telehealth","NH White",2020,0.321399155558533,0.00879515108513393,0.30442866706307,0.338628486152744
"telehealth","NH White",2021,0.391465293288721,0.00492408194087248,0.381914933612064,0.401245377956849
"telehealth","NH White",2022,0.314603562350153,0.00506320296091379,0.304841804025075,0.324712605130922
"telehealth","NH White",2023,0.281562631276897,0.00444472817157125,0.272940164250708,0.290203699394027
"telehealth","NH White",2024,0.269670685136324,0.00413626058149841,0.261613193594919,0.277813463524165
"telehealth","NH Black",2020,0.352048448049014,0.0200035092326949,0.312882661169867,0.391137361279331
"telehealth","NH Black",2021,0.367639856514336,0.0117987869256774,0.344440408102921,0.390922170045239
"telehealth","NH Black",2022,0.304616765407775,0.0115571093276401,0.28248673220032,0.327617584639371
"telehealth","NH Black",2023,0.291625462925253,0.0115074477865681,0.269521415189238,0.314255401753703
"telehealth","NH Black",2024,0.253938021378072,0.011490024426528,0.232297368416976,0.277175064608985
"telehealth","NH Asian",2020,0.257653284797123,0.0272562102181462,0.207616836077228,0.31437165100073
"telehealth","NH Asian",2021,0.306231935599954,0.0147039288136695,0.277817749879493,0.335590240079073
"telehealth","NH Asian",2022,0.270935549919232,0.0157423879726631,0.241299748375104,0.303096696189209
"telehealth","NH Asian",2023,0.226119192215923,0.0127641984518518,0.201876460623038,0.251760819704146
"telehealth","NH Asian",2024,0.21177657121493,0.0128702652803368,0.187869749254574,0.238231863454948
"telehealth","NH AIAN",2020,0.353233710882136,0.0580338940913258,0.245169234973368,0.472668899987996
"telehealth","NH AIAN",2021,0.479412546062763,0.0366757374665949,0.408067912853884,0.550622903803702
"telehealth","NH AIAN",2022,0.355299985533742,0.0317188968352012,0.295321254226243,0.419525219877568
"telehealth","NH AIAN",2023,0.34492218235441,0.0350761693122091,0.279014751976838,0.414628527340688
"telehealth","NH AIAN",2024,0.275394416169792,0.028932096742898,0.222792109119134,0.335657511025137
"telehealth","NH Other",2020,0.3672937573443,0.0599699444566665,0.255302832001424,0.489985807821142
"telehealth","NH Other",2021,0.403656025938265,0.034773394523183,0.336581946828855,0.472026551276051
"telehealth","NH Other",2022,0.345692784847847,0.0356567227057665,0.277482920706602,0.417294985414042
"telehealth","NH Other",2023,0.37793311107264,0.0399752310571353,0.301615969169484,0.458756931328889
"telehealth","NH Other",2024,0.250004601517043,0.0289826305612415,0.196294643689565,0.309195743407398
